,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,achievement_count,athlete_count,start_date,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,elev_high,elev_low,pr_count
29,8590038756,Ride with Ozzy,6.327224299,0.7211111111111111,0.8891666666666667,32.1,Ride,Ride,0,1,2023-02-19T20:57:24Z,3.922,11.378,{},True,102.8,143.0,1350.9,1322.0,0
30,8583561011,Family Bike Ride,4.215809039,0.49833333333333335,0.6413888888888889,35.0,Ride,Ride,0,1,2023-02-18T20:08:04Z,3.782,8.626,44.0,False,{},{},1345.8,1324.6,0
31,8578215980,Woodward,10.22029376,1.7258333333333333,2.558611111111111,1191.6,Snowboard,Snowboard,0,1,2023-02-17T20:14:32Z,2.647,13.718,{},False,{},{},2070.1,1949.3,0
32,8538621215,Walking the dog,0.99854159,0.14,0.1525,5.8,Ride,Ride,0,1,2023-02-10T18:31:08Z,3.188,5.692,{},True,108.6,120.0,1355.1,1349.1,0
33,8518014071,Ozzy got pulled over,7.077466437,0.8033333333333333,0.8358333333333333,58.2,Ride,Ride,1,1,2023-02-06T23:32:48Z,3.938,21.862,{},True,115.9,157.0,1345.5,1322.0,0
34,8517709451,Afternoon Ride,1.0038853719999998,0.14583333333333334,0.16305555555555556,5.8,Ride,Ride,0,1,2023-02-06T22:56:27Z,3.077,6.206,{},True,110.5,128.0,1355.1,1349.1,0
35,8500506933,Afternoon Ride,3.125118278,0.3788888888888889,0.41,4.6,Ride,MountainBikeRide,0,1,2023-02-03T23:07:36Z,3.687,6.06,{},True,111.4,122.0,1328.6,1322.0,0
36,8499592954,Lunch Ride,0.8986874309999999,0.13666666666666666,0.14277777777777778,5.9,Ride,Ride,0,1,2023-02-03T18:53:21Z,2.94,5.264,{},True,108.8,128.0,1355.1,1349.1,0
37,8495779162,Walking the dog,1.191352701,0.24194444444444443,0.25833333333333336,6.1,Ride,MountainBikeRide,0,1,2023-02-02T23:36:35Z,2.201,8.2,{},True,106.3,143.0,1355.0,1348.9,0
38,8489304884,Lunch Ride,9.822057727,0.5894444444444444,0.6222222222222222,62.0,Ride,Ride,0,1,2023-02-01T18:52:45Z,7.449,12.866,64.7,True,152.3,176.0,1335.4,1291.0,0
39,8467661256,Brighton Powder Day,17.681642583000002,2.234166666666667,4.783888888888889,3289.5,Snowboard,Snowboard,6,1,2023-01-28T15:59:05Z,3.538,18.65,{},False,{},{},3035.7,2667.0,2
40,8456917735,Lunch Ride 🥶,10.985759463,0.6505555555555556,0.7405555555555555,49.0,Ride,Ride,1,1,2023-01-26T19:46:27Z,7.549,12.322,65.6,True,95.0,184.0,1368.2,1322.0,0
41,8430874178,Powder Mountain @ Night,11.047523641,1.8144444444444445,3.108888888888889,1665.8,Snowboard,Snowboard,0,1,2023-01-21T22:29:20Z,2.722,17.104,{},False,{},{},2622.6,2333.3,0
42,8425318914,Nordic Valley @ Night,5.261201927,0.93,1.54,1002.2,Snowboard,Snowboard,0,2,2023-01-21T01:26:00Z,2.529,14.832,{},False,{},{},1922.8,1632.7,0
43,8342218717,Afternoon Ride,0.0,0.16444444444444445,0.16444444444444445,0.0,Ride,Ride,0,1,2023-01-05T14:26:54Z,0.0,0.0,{},True,120.2,159.0,{},{},0
44,8342149876,IT Band,0.0,0.3063888888888889,0.3063888888888889,0.0,Workout,Workout,0,1,2023-01-05T07:02:49Z,0.0,0.0,{},False,{},{},{},{},0
45,8299690768,Bearclaw Poppy Round 2,4.678853963,0.5213888888888889,0.6480555555555556,199.9,Ride,MountainBikeRide,10,2,2022-12-27T20:57:39Z,4.012,8.7,{},True,148.6,171.0,871.1,783.4,9
46,8299242510,Bearclaw Poppy,4.878748692,0.5902777777777778,0.8019444444444445,225.1,Ride,MountainBikeRide,0,2,2022-12-27T18:38:18Z,3.695,8.9,{},True,131.5,166.0,871.3,786.5,0
47,8298897001,Turtle Wall,3.4824060279999998,0.6013888888888889,0.8527777777777777,198.6,Ride,MountainBikeRide,0,2,2022-12-27T17:07:13Z,2.589,9.6,{},True,143.8,168.0,959.0,892.9,0
48,8025271253,Secret Beach,1.153076309,0.5869444444444445,0.9941666666666666,131.9,Hike,Hike,0,1,2022-10-27T01:03:23Z,0.878,2.047,{},True,90.6,133.0,61.1,-0.8,0
49,7968649924,Lehi > Provo > Riverton,75.61078708,5.7347222222222225,6.526111111111111,886.0,Ride,Ride,131,2,2022-10-15T14:33:47Z,5.894,14.648,49.6,True,126.8,186.0,1812.2,1332.8,4
50,7907499549,Afternoon Hike,2.007211511,0.6241666666666666,0.6241666666666666,129.1,Hike,Hike,0,1,2022-10-03T23:19:06Z,1.438,2.513,{},True,114.6,152.0,1590.3,1459.7,0
51,7906464634,Lunch Ride,13.241332563,0.7416666666666667,0.7627777777777778,39.0,Ride,Ride,8,1,2022-10-03T18:14:31Z,7.981,13.956,73.0,True,156.8,195.0,1357.4,1314.4,2
52,7866847373,Afternoon E-Bike Ride,6.432981473,0.6141666666666666,0.7211111111111111,91.3,EBikeRide,EBikeRide,0,2,2022-09-25T17:35:22Z,4.682,10.696,{},True,76.2,102.0,39.7,9.7,0
53,7823450137,Morning Ride,19.601303061,1.6336111111111111,1.9636111111111112,519.0,Ride,Ride,23,2,2022-09-17T14:17:10Z,5.364,16.324,{},False,{},{},1916.6,1514.6,4
54,7799197822,Murdock Trail to Provo Canyon,50.263302807,2.931388888888889,3.142777777777778,412.0,Ride,Ride,65,1,2022-09-12T23:04:30Z,7.665,15.722,{},False,{},{},1679.6,1450.2,57
55,7777643314,Murdock Trail,30.144957768999998,2.2169444444444446,2.387777777777778,244.0,Ride,Ride,19,2,2022-09-08T22:22:54Z,6.079,17.92,{},False,{},{},1472.4,1401.4,5
56,7760407574,Lunch Ride,27.601503948,1.7216666666666667,1.8041666666666667,440.0,Ride,Ride,4,1,2022-09-05T17:44:05Z,7.167,14.924,{},False,{},{},1461.0,1322.4,2
57,7750301977,IT Band,0.0,0.31166666666666665,0.31166666666666665,0.0,Workout,Workout,0,1,2022-09-03T19:40:35Z,0.0,0.0,{},False,{},{},{},{},0
58,7734332121,IT Band,0.0,0.4597222222222222,0.4597222222222222,0.0,Workout,Workout,0,1,2022-08-31T19:06:37Z,0.0,0.0,{},False,{},{},{},{},0
59,7734120316,Afternoon Ride,19.66760324,1.6141666666666667,1.9541666666666666,497.0,Ride,Ride,44,2,2022-08-31T22:18:44Z,5.447,15.988,{},False,{},{},1897.2,1504.2,9
60,7728813825,Evening Ride,13.432403838,0.7572222222222222,0.7766666666666666,35.0,Ride,Ride,11,1,2022-08-31T01:29:16Z,7.93,12.496,{},False,{},{},1366.4,1325.6,0
61,7725368770,Morning Ride,13.366911439999999,0.7822222222222223,0.8177777777777778,45.2,Ride,Ride,3,1,2022-08-30T12:59:07Z,7.639,12.816,{},True,140.9,167.0,1355.7,1313.8,1
62,7711625158,Afternoon Ride,15.19684609,0.8969444444444444,0.9438888888888889,47.3,Ride,Ride,16,1,2022-08-27T23:53:27Z,7.574,15.907,{},True,134.3,166.0,1355.9,1310.5,10
63,7698059042,Morning Ride,13.67386822,0.87,0.88,131.7,Ride,Ride,18,1,2022-08-25T13:16:10Z,7.026,14.342,{},True,135.4,160.0,1364.3,1322.2,3
64,7686283632,Morning Ride,13.455518801999999,0.8094444444444444,0.8163888888888889,45.3,Ride,Ride,0,1,2022-08-23T12:54:22Z,7.431,13.675,{},True,129.4,160.0,1355.5,1313.8,0
65,7677613657,Jenny Lake hidden falls // inspiration point,6.715269864000001,2.413611111111111,2.638888888888889,240.1,Hike,Hike,0,1,2022-08-21T15:42:16Z,1.244,2.089,{},True,89.4,129.0,2201.1,2070.9,0
